Ticker,Company,MS,MBI,MB,CNN,BS
ACA,Arcosa Inc,True,True,True,True,False
ACEL,Accel Entertainment Inc,True,True,True,True,False
AEG,Aegon NV,True,True,True,True,False
AGM.A,Federal Agricultural Mortgage Corp,True,False,True,True,False
AIZP,,True,True,False,True,False
AKO.B,Embotelladora Andina SA,True,False,True,True,False
ALTG,Alta Equipment Group Inc,True,True,True,True,False
ALUS,Alussa Energy Acquisition Corp,True,True,False,True,False
AMHPF,Verde AgriTech PLC,True,False,False,True,False
AMK,AssetMark Financial Holdings Inc,True,True,True,True,False
AMPY,Amplify Energy Corp,True,True,True,True,False
AMRX,Amneal Pharmaceuticals Inc,True,True,True,True,False
APY,Apergy Corp,True,True,True,True,False
ARD,Ardagh Group SA,True,True,True,True,False
ARLO,Arlo Technologies Inc,True,True,True,True,False
ATCO,Atlas Corp,True,True,True,True,False
ATH,Athene Holding Ltd,True,True,True,True,False
AVNS,Avanos Medical Inc,True,True,True,True,False
AVYA,Avaya Holdings Corp,True,True,True,True,False
BBAR,BBVA Argentina SA,True,False,True,True,False
BBDC,Barings BDC Inc,True,True,True,True,False
BBU,Brookfield Business Partners LP,True,True,True,True,False
BCSF,Bain Capital Specialty Finance Inc,True,True,True,True,False
BDXA,,True,True,False,True,False
BE,Bloom Energy Corp,True,True,True,True,False
BH.A,Biglari Holdings Inc,True,False,True,True,False
BHR,Braemar Hotels & Resorts Inc,True,True,True,True,False
BILL,Bill.com Holdings Inc,True,True,True,True,False
BIO.B,Bio-Rad Laboratories Inc,True,False,True,True,False
BIPC,Brookfield Infrastructure Corp,True,True,True,True,False
BKR,Baker Hughes Co,True,True,True,True,False
BLX,Banco Latinoamericano de Comercio Exterior SA,True,True,True,True,False
BORR,Borr Drilling Ltd,True,True,True,True,False
BPMP,BP Midstream Partners LP,True,True,True,True,False
BPT,BP Prudhoe Bay Royalty Trust,True,True,True,True,False
BRBR,BellRing Brands Inc,True,True,True,True,False
BRMK,Broadmark Realty Capital Inc,True,True,True,True,False
BSBR,Banco Santander (Brasil) SA,True,True,True,True,False
BXG,Bluegreen Vacations Corp,True,True,True,True,False
CCH,Collier Creek Holdings,True,True,True,False,False
CCH.U,,True,False,False,False,False
CCR,CONSOL Coal Resources LP,True,True,True,True,False
CCX,Churchill Capital Corp II,True,True,True,True,False
CCX.U,,True,False,False,False,False
CCXX,Churchill Capital Corp III,True,True,False,True,False
CDAY,Ceridian HCM Holding Inc,True,True,True,True,False
CFXA,,True,True,True,True,False
CHAP,Chaparral Energy Inc,True,True,True,True,False
CHRA,Charah Solutions Inc,True,True,True,True,False
CIG.C,Energy Company of Minas Gerais,True,False,True,True,False
CNR,Cornerstone Building Brands Inc,True,True,True,True,False
CNXM,CNX Midstream Partners LP,True,True,True,True,False
CPA,Copa Holdings SA,True,True,True,True,False
CSPR,Casper Sleep Inc,True,True,True,True,False
CSTM,Constellium SE,True,False,True,True,False
CTK,CooTek (Cayman) Inc,True,True,True,True,False
CTRA,Contura Energy Inc,True,True,True,True,False
CVIA,Covia Holdings Corp,True,True,True,True,False
CWEN.A,Clearway Energy Inc,True,False,True,True,False
DAO,Youdao Inc,True,True,True,True,False
DCP,DCP Midstream LP,True,True,True,True,False
DCUE,,True,True,False,True,False
DDT,,True,False,False,True,False
DFNS,LGL Systems Acquisition Corp,True,True,False,True,False
DNK,Phoenix Tree Holdings Ltd,True,True,True,True,False
DSSI,Diamond S Shipping Inc,True,True,True,True,False
DTP,,True,True,False,True,False
EBR.B,Centrais Eletricas Brasileiras SA,True,False,True,True,False
ECCB,,True,True,False,True,False
ECT,ECA Marcellus Trust I,True,True,True,True,False
ELAT,,True,True,False,True,False
EPAC,Enerpac Tool Group Corp,True,False,True,True,False
EPRT,Essential Properties Realty Trust Inc,True,True,True,True,False
EQH,Equitable Holdings Inc,True,True,True,True,False
EROS,Eros International PLC,True,True,True,True,False
ESI,Element Solutions Inc,True,True,True,True,False
ETRN,Equitrans Midstream Corp,True,True,True,True,False
FG,FGL Holdings,True,True,True,True,False
FHI,Federated Hermes Inc,True,True,True,True,False
FLNG,Flex LNG Ltd,True,True,True,True,False
FPAC,Far Point Acquisition Corp,True,True,False,True,False
FSK,FS KKR Capital Corp,True,True,True,True,False
GEF.B,Greif Inc,True,False,True,True,False
GFL,GFL Environmental Inc,True,False,True,True,False
GFLU,,True,True,False,True,False
GIX,Gigcapital2 Inc,True,True,True,True,False
GLEO,Galileo Acquisition Corp,True,True,False,True,False
GRAF,Graf Industrial Corp,True,True,False,True,False
GRP.U,Granite Real Estate Investment Trust,True,False,True,False,False
GSL,Global Ship Lease Inc,True,True,True,True,False
GSX,GSX Techedu Inc,True,True,True,True,False
GTN.A,Gray Television Inc,True,False,True,True,False
HCFT,Hunt Companies Finance Trust Inc,True,True,True,True,False
HCR,Hi-Crush Inc,True,True,True,True,False
HESM,Hess Midstream Operations LP,True,False,True,True,False
HEXO,HEXO Corp,True,True,True,True,False
HKIB,AMTD International Inc,True,True,True,True,False
HNGR,Hanger Inc,True,True,True,True,False
HPR,HighPoint Resources Corp,True,True,True,True,False
HTGC,Hercules Capital Inc,True,True,True,True,False
HUD,Hudson Ltd,True,True,True,True,False
