Ticker,Company,MS,MBI,MB,CNN,BS
AGS,PlayAGS Inc,True,True,True,True,True
AGTC,Applied Genetic Technologies Corp,False,True,True,True,True
AGX,Argan Inc,True,True,True,True,True
AGYS,Agilysys Inc,False,True,True,True,True
AHC,A H Belo Corp,True,True,True,True,True
AHGP,Alliance Holdings GP LP,False,True,False,False,True
AHH,Armada Hoffler Properties Inc,True,True,True,True,True
AHKSY,Asahi Kasei Corp,False,False,True,True,True
AHL,Aspen Insurance Holdings Ltd,False,True,True,False,True
AHPI,Allied Healthcare Products Inc,False,True,True,True,True
AHT,Ashford Hospitality Trust Inc,True,True,True,True,True
AI,Arlington Asset Investment Corp,True,True,True,True,True
AIG,American International Group Inc,True,True,True,True,True
AIHS,Senmiao Technology Ltd,False,True,True,True,True
AIII,ACRE Realty Investors Inc,False,False,True,False,True
AIMC,Altra Industrial Motion Corp,False,True,True,True,True
AIN,Albany International Corp,True,True,True,True,True
AINC,Ashford Inc,False,True,True,True,True
AIQ,Alliance HealthCare Services Inc,False,True,True,True,True
AIQUY,Air Liquide SA,False,False,True,True,True
AIR,AAR Corp,True,True,True,True,True
AIRG,Airgain Inc,False,True,True,True,True
AIRI,Air Industries Group,False,True,True,True,True
AIRT,Air T Inc,False,True,True,True,True
AIT,Applied Industrial Technologies Inc,True,True,True,True,True
AIV,Apartment Investment & Management Co,True,True,True,True,True
AIW,,False,False,False,True,True
AIZ,Assurant Inc,True,True,True,True,True
AJG,Arthur J. Gallagher & Co,True,True,True,True,True
AJRD,Aerojet Rocketdyne Holdings Inc,True,True,True,True,True
AJX,Great Ajax Corp,True,True,True,True,True
AKAM,Akamai Technologies Inc,False,True,True,True,True
AKBA,Akebia Therapeutics Inc,False,True,True,True,True
AKER,Akers Biosciences Inc,False,False,True,True,True
AKG,Asanko Gold Inc,False,True,True,True,True
AKO.A,Embotelladora Andina SA,True,False,True,True,True
AKR,Acadia Realty Trust,True,True,True,True,True
AKRX,Akorn Inc,False,True,True,True,True
AKS,AK Steel Holding Corp,False,True,True,False,True
AKTX,Akari Therapeutics PLC,False,True,True,True,True
AKZOY,Akzo Nobel NV,False,True,True,True,True
AL,Air Lease Corp,True,True,True,True,True
ALB,Albemarle Corp,True,True,True,True,True
ALBO,Albireo Pharma Inc,False,True,True,True,True
ALC,Alcon Inc,True,True,True,True,True
ALDR,Alder BioPharmaceuticals Inc,False,True,True,True,True
ALDW,Alon USA Partners LP,False,False,True,False,True
ALE,ALLETE Inc,True,True,True,True,True
ALEX,Alexander & Baldwin Inc,True,True,True,True,True
ALG,Alamo Group Inc,True,True,True,True,True
ALGN,Align Technology Inc,False,True,True,True,True
ALGT,Allegiant Travel Co,False,True,True,True,True
ALIM,Alimera Sciences Inc,False,False,True,True,True
ALIZF,Allianz SE,False,False,False,True,True
ALJ,Alon USA Energy Inc,False,True,True,False,True
ALJJ,ALJ Regional Holdings Inc,False,True,True,True,True
ALK,Alaska Air Group Inc,True,True,True,True,True
ALKS,Alkermes PLC,False,True,True,True,True
ALL,Allstate Corp,True,True,True,True,True
ALLB,Alliance Bancorp Inc Of Pennsylvania,False,False,True,False,True
ALLE,Allegion PLC,True,True,True,True,True
ALLT,Allot Ltd,False,True,True,True,True
ALLY,Ally Financial Inc,True,True,True,True,True
ALMFF,Altium Ltd,False,False,True,True,True
ALNY,Alnylam Pharmaceuticals Inc,False,True,True,True,True
ALO,Alio Gold Inc,False,True,True,True,True
ALOG,Analogic Corp,False,False,True,False,True
ALOT,AstroNova Inc,False,True,True,True,True
ALRM,Alarm.com Holdings Inc,False,True,True,True,True
ALSK,Alaska Communications Systems Group Inc,False,True,True,True,True
ALSN,Allison Transmission Holdings Inc,True,True,True,True,True
ALT,Altimmune Inc,False,True,True,True,True
ALTR,Altair Engineering Inc,False,True,True,True,True
ALTV,Alteva Inc,False,False,True,False,True
ALV,Autoliv Inc,True,True,True,True,True
ALX,Alexander's Inc,True,True,True,True,True
ALXA,Alexza Pharmaceuticals Inc,False,False,True,False,True
ALXN,Alexion Pharmaceuticals Inc,False,True,True,True,True
AM,Antero Midstream Corp,True,True,True,True,True
AMAG,AMAG Pharmaceuticals Inc,False,True,True,True,True
AMAT,Applied Materials Inc,False,True,True,True,True
AMBA,Ambarella Inc,False,True,True,True,True
AMBC,Ambac Financial Group Inc,True,True,True,True,True
AMBFF,Ambu A/S,False,False,False,True,True
AMBFF,Ambu A/S,False,False,False,True,True
AMBO,Ambow Education Holding Ltd,False,True,True,True,True
AMBR,Amber Road Inc,False,True,True,False,True
AMC,AMC Entertainment Holdings Inc,True,True,True,True,True
AMCC,Applied Micro Circuits Corp,False,False,True,False,True
AMCR,Amcor PLC,True,True,True,True,True
AMCX,AMC Networks Inc,False,True,True,True,True
AMD,Advanced Micro Devices Inc,False,True,True,True,True
AME,AMETEK Inc,True,True,True,True,True
AMED,Amedisys Inc,False,True,True,True,True
AMG,Affiliated Managers Group Inc,True,True,True,True,True
AMGN,Amgen Inc,False,True,True,True,True
AMH,American Homes 4 Rent,True,True,True,True,True
AMID,American Midstream Partners LP,False,True,True,False,True
AMKR,Amkor Technology Inc,False,True,True,True,True
AMN,AMN Healthcare Services Inc,True,True,True,True,True
AMNB,American National Bankshares Inc,False,True,True,True,True
AMNF,Armanino Foods of Distinction Inc,False,False,True,True,True
AMOT,Allied Motion Technologies Inc,False,True,True,True,True
AMOV,America Movil SAB de CV,True,True,True,True,True
AMP,Ameriprise Financial Inc,True,True,True,True,True
AMPE,Ampio Pharmaceuticals Inc,False,True,True,True,True
AMPH,Amphastar Pharmaceuticals Inc,False,True,True,True,True
