Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2012,271.0,11.0,0.38,59.0,118.0,2.0,-4.0,-0.14,0
2013,281.0,24.0,0.8,72.0,75.0,1.04,36.0,1.2,117
2014,275.0,25.0,0.81,74.0,49.0,0.66,40.0,1.29,4
2015,307.0,47.0,1.46,80.0,13.0,0.16,45.0,1.41,87
2016,280.0,21.0,0.66,53.0,9.0,0.17,36.0,1.13,-55
2017,262.0,13.0,0.4,37.0,-6.0,-0.0,20.0,0.63,-38
2018,306.0,13.0,0.41,53.0,182.0,3.43,14.0,0.44,0
2019,411.0,21.0,0.63,79.0,179.0,2.27,13.0,0.39,61
2020,407.0,19.0,0.57,73.0,139.0,1.9,57.0,1.73,-9
