Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2016,844.0,-7.0,-0.12,631.0,6353.0,10.07,-1.0,-0.02,0
2017,1200.0,352.0,4.7,1154.0,6911.0,5.99,-565.0,-7.53,5135
2018,1431.0,354.0,4.4,1385.0,7529.0,5.44,-483.0,-6.04,0
2019,1461.0,364.0,4.64,1399.0,7364.0,5.26,-195.0,-2.5,2
