Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,63.0,9.0,0.76,28.0,-15.0,-0.0,-2.0,-0.17,0
2012,92.0,11.0,0.92,34.0,-27.0,-0.0,12.0,1.0,22
2013,87.0,12.0,1.0,38.0,-23.0,-0.0,-5.0,-0.42,8
2014,95.0,12.0,1.0,42.0,-5.0,-0.0,-17.0,-1.42,0
2015,94.0,9.0,0.75,36.0,-34.0,-0.0,28.0,2.33,-25
2016,70.0,5.0,0.41,29.0,-63.0,-0.0,28.0,2.33,-44
2017,65.0,21.0,1.74,20.0,-68.0,-0.0,1.0,0.08,319
2018,64.0,2.0,0.14,20.0,-51.0,-0.0,-14.0,-1.08,-90
2019,76.0,-12.0,-0.93,8.0,-10.0,-0.0,-39.0,-3.0,-697
