Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2012,213.0,18.0,0.32,41.0,162.0,3.95,39.0,0.68,0
2013,264.0,-63.0,-1.11,0.0,233.0,0.0,-18.0,-0.32,-449
2014,369.0,27.0,0.48,56.0,277.0,4.95,16.0,0.28,142
2015,412.0,70.0,1.23,89.0,335.0,3.76,-27.0,-0.47,159
2016,364.0,21.0,0.37,42.0,400.0,9.52,-72.0,-1.26,-70
2017,354.0,7.0,0.13,24.0,459.0,19.13,-80.0,-1.43,-66
