Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,449.0,14.0,0.28,9.0,228.0,25.33,6.0,0.12,0
2010,1090.0,134.0,2.58,194.0,731.0,3.77,550.0,10.58,856
2011,1112.0,174.0,3.35,287.0,579.0,2.02,565.0,10.87,29
2012,1187.0,208.0,3.93,345.0,1978.0,5.73,229.0,4.32,19
2013,1178.0,231.0,4.28,365.0,555.0,1.52,340.0,6.3,11
2014,1268.0,256.0,4.65,413.0,624.0,1.51,140.0,2.55,10
2015,1337.0,268.0,4.79,432.0,222.0,0.51,271.0,4.84,4
