Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0
2011,16.0,4.0,4.0,4.0,18.0,4.5,0.0,0.0,99
2012,19.0,4.0,4.0,4.0,18.0,4.5,-2.0,-2.0,0
2013,18.0,4.0,4.0,4.0,42.0,10.5,1.0,1.0,0
2014,19.0,4.0,4.0,4.0,19.0,4.75,2.0,2.0,0
2015,20.0,4.0,4.0,5.0,47.0,9.4,-18.0,-18.0,0
2016,22.0,4.0,2.0,5.0,42.0,8.4,-4.0,-2.0,0
2017,25.0,4.0,2.0,6.0,22.0,3.67,4.0,2.0,0
2018,28.0,4.0,2.0,6.0,41.0,6.83,0.0,0.0,0
2019,31.0,7.0,3.5,10.0,25.0,2.5,5.0,2.5,74
