Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2013,140.0,-25.0,-2.78,-14.0,0.0,0.0,-27.0,-3.0,0
2014,178.0,-34.0,-0.7,-20.0,-91.0,-0.0,-33.0,-0.69,-37
2015,197.0,-37.0,-0.6,-28.0,-98.0,-0.0,-1.0,-0.02,-9
2016,229.0,-18.0,-0.28,-10.0,-113.0,-0.0,13.0,0.2,52
2017,234.0,-9.0,-0.12,-2.0,-130.0,-0.0,10.0,0.14,52
2018,230.0,-25.0,-0.33,-1.0,-127.0,-0.0,-6.0,-0.08,-200
2019,211.0,-15.0,-0.19,-7.0,-129.0,-0.0,-5.0,-0.06,41
