Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2013,134.0,-2.0,0.0,2.0,0.0,0.0,-4.0,0.0,0
2014,320.0,-3.0,-1.01,17.0,29.0,1.71,2.0,0.67,-50
2015,356.0,24.0,4.0,54.0,45.0,0.83,40.0,6.67,902
2016,545.0,63.0,5.25,125.0,58.0,0.46,62.0,5.17,162
2017,796.0,74.0,5.7,166.0,88.0,0.53,60.0,4.62,17
2018,1004.0,-15.0,-1.16,48.0,99.0,2.06,56.0,4.31,-120
2019,812.0,13.0,0.93,72.0,66.0,0.92,86.0,6.14,186
