Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2016,1391.0,-26.0,0.0,65.0,705.0,10.85,5.0,0.0,0
2017,2059.0,80.0,0.0,225.0,569.0,2.53,51.0,0.0,407
2018,2042.0,-12.0,-0.29,153.0,572.0,3.74,44.0,1.05,-114
2019,2151.0,38.0,0.85,170.0,510.0,3.0,115.0,2.67,416
