Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,108.0,-2.0,-0.08,2.0,-34.0,-0.0,20.0,0.87,0
2012,156.0,55.0,2.9,48.0,-37.0,-0.0,62.0,3.26,2863
2013,141.0,68.0,68.0,50.0,-53.0,-0.0,31.0,31.0,23
2014,114.0,3.0,0.17,18.0,-76.0,-0.0,19.0,1.12,-95
2015,99.0,11.0,0.65,27.0,-79.0,-0.0,21.0,1.24,265
2016,95.0,5.0,0.32,17.0,-53.0,-0.0,8.0,0.5,-54
2017,86.0,-24.0,-1.5,-26.0,-53.0,-0.0,-3.0,-0.19,-579
2018,79.0,6.0,0.37,15.0,-63.0,-0.0,7.0,0.44,125
