Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2012,11.0,-7.0,-7.0,-3.0,0.0,0.0,-4.0,-4.0,0
2013,30.0,-27.0,-3.85,-24.0,-23.0,-0.0,-34.0,-4.86,-286
2014,45.0,-49.0,-2.89,-42.0,-42.0,-0.0,-40.0,-2.35,-81
2015,61.0,-43.0,-2.26,-37.0,-2.0,-0.0,-45.0,-2.37,12
2016,84.0,-45.0,-2.25,-36.0,-17.0,-0.0,-9.0,-0.45,-4
2017,114.0,-41.0,-1.78,-33.0,-20.0,-0.0,-55.0,-2.39,8
2018,105.0,-76.0,-2.8,-65.0,-28.0,-0.0,-56.0,-2.07,-85
2019,291.0,-40.0,-1.16,-26.0,-76.0,-0.0,-96.0,-2.82,47
