Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2015,1090.0,39.0,0.57,85.0,-73.0,-0.0,121.0,1.73,0
2016,1045.0,72.0,1.03,132.0,683.0,5.17,87.0,1.24,84
2017,1083.0,556.0,7.82,80.0,-177.0,-0.0,-80.0,-1.13,672
2018,1124.0,16.0,0.22,145.0,30.0,0.21,-111.0,-1.54,-97
2019,1012.0,44.0,0.59,99.0,31.0,0.31,3.0,0.04,174
