Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2015,4.0,-2.0,-0.22,1.0,0.0,0.0,-2.0,-0.22,0
2016,13.0,0.0,0.0,2.0,-11.0,-0.0,-5.0,-0.45,100
2017,18.0,-4.0,-0.32,-4.0,-9.0,-0.0,-7.0,-0.54,-40099
2018,25.0,-2.0,-0.14,-2.0,-14.0,-0.0,-11.0,-0.79,49
2019,25.0,-1.0,-0.06,-1.0,-15.0,-0.0,-3.0,-0.18,49
