Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2015,0.0,-6.0,-1.2,0.0,0.0,0.0,0.0,0.0,0
2016,5.0,-22.0,-1.84,12.0,-315.0,-0.0,-58.0,-4.83,-267
2017,39.0,-66.0,-1.65,-61.0,-239.0,-0.0,-74.0,-1.85,-200
2018,4.0,-163.0,-3.38,-155.0,-456.0,-0.0,-98.0,-2.04,-147
2019,4.0,-183.0,-3.51,-175.0,-437.0,-0.0,-119.0,-2.29,-12
