Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2018,1477.0,-26.0,-0.19,106.0,0.0,0.0,22.0,0.17,0
2019,4559.0,44.0,0.11,632.0,4930.0,7.8,328.0,0.82,280
2020,6078.0,91.0,0.19,894.0,4708.0,5.27,569.0,0.98,104
