Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2018,98.0,9.0,0.28,55.0,2327.0,42.31,6.0,0.19,0
2019,251.0,73.0,1.72,77.0,3941.0,51.18,-34.0,-0.81,710
