Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2013,869.0,39.0,1.56,34.0,0.0,0.0,-1.0,-0.04,0
2014,1706.0,40.0,1.6,117.0,302.0,2.58,107.0,4.28,2
2015,1671.0,-4.0,-0.16,75.0,348.0,4.64,34.0,1.36,-109
2016,1605.0,7.0,0.22,108.0,172.0,1.59,64.0,1.94,275
2017,1523.0,5.0,0.15,119.0,163.0,1.37,69.0,2.03,-28
2018,1029.0,249.0,7.11,20.0,-90.0,-0.0,-2.0,-0.06,4870
2019,915.0,-2.0,-0.06,29.0,-95.0,-0.0,-4.0,-2.0,-100
