Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,199.0,-14.0,-0.64,-1.0,-45.0,-0.0,-21.0,-0.95,0
2012,245.0,-15.0,-0.53,2.0,-64.0,-0.0,-18.0,-0.64,-7
2013,280.0,-33.0,-1.07,-10.0,-22.0,-0.0,-14.0,-0.45,-120
2014,304.0,-18.0,-0.57,6.0,10.0,1.67,-10.0,-0.31,45
2015,338.0,4.0,0.12,30.0,-48.0,-0.0,9.0,0.24,122
2016,410.0,-2.0,-0.05,24.0,-52.0,-0.0,3.0,0.07,-149
2017,291.0,-52.0,-1.22,-21.0,5.0,0.0,-55.0,-1.28,-2513
2018,321.0,-42.0,-0.92,-7.0,5.0,0.0,5.0,0.11,19
2019,355.0,-17.0,-0.35,10.0,-26.0,-0.0,27.0,0.57,59
