Ticker,Origin,Company
TCI, United States of America,Transcontinental Realty Investors Inc 
SVC, United States of America,Service Properties Trust
SUI, United States of America,Sun Communities Inc 
STWD, United States of America,Starwood Property Trust Inc 
STOR, United States of America,Store Capital Corp 
STAR, United States of America,iStar Inc 
STAG, United States of America,STAG Industrial Inc 
SRG, United States of America,Seritage Growth Properties 
SRC, United States of America,Spirit Realty Capital Inc 
SPG, United States of America,Simon Property Group Inc
SOHO, United States of America,Sotherly Hotels Inc
SNR, United States of America,New Senior Investment Group Inc 
SLG, United States of America,SL Green Realty Corp
SKT, United States of America,Tanger Factory Outlet Centers Inc 
SITC, United States of America,SITE Centers Corp.
SIR, United States of America,Select Income Reit
SHO, United States of America,Sunstone Hotel Investors Inc 
SELF, United States of America,Global Self Storage Inc
SBRA, United States of America,Sabra Health Care REIT Inc
SBAC, United States of America,SBA Communications Corp 
RYN, United States of America,Rayonier Inc 
RWT, United States of America,Redwood Trust Inc 
RVEN,{{inc-country}},Reven Housing Reit Inc
RPT, United States of America,Ramco-Gershenson Properties Trust 
RPAI, United States of America,Retail Properties of America Inc 
ROIC, United States of America,Retail Opportunity Investments Corp
RLJ, United States of America,RLJ Lodging Trust 
RHP, United States of America,Ryman Hospitality Properties Inc 
REXR, United States of America,Rexford Industrial Realty Inc 
RESI, United States of America,Front Yard Residential Corp
REG, United States of America,Regency Centers Corp 
QTS, United States of America,QTS Realty Trust Inc
QCP, United States of America,Quality Care Properties Inc
PSB, United States of America,PS Business Parks Inc
PSA, United States of America,Public Storage
PMT, United States of America,PennyMac Mortgage Investment Trust
PLD, United States of America,Prologis Inc
PKY, United States of America,Parkway Inc
PK, United States of America,Park Hotels & Resorts Inc 
PGRE, United States of America,Paramount Group Inc
PEI, United States of America,Pennsylvania Real Estate Investment Trust
PEB, United States of America,Pebblebrook Hotel Trust
PEAK, United States of America,Healthpeak Properties Inc
PDM, United States of America,Piedmont Office Realty Trust Inc
PCL,-,Plum Creek Timber Company Inc
PCH, United States of America,PotlatchDeltic Corp
OUT, United States of America,OUTFRONT Media Inc
ORM, United States of America,Owens Realty Mortgage Inc
ORC, United States of America,Orchid Island Capital Inc
OPI, United States of America,Office Properties Income Trust
OLP, United States of America,One Liberty Properties Inc
OHI, United States of America,Omega Healthcare Investors Inc
OFC, United States of America,Corporate Office Properties Trust
O, United States of America,Realty Income Corp
NYRT, United States of America,New York REIT Inc
NYMT, United States of America,New York Mortgage Trust Inc
NXRT, United States of America,NexPoint Residential Trust Inc
NSA, United States of America,National Storage Affiliates Trust
NRZ, United States of America,New Residential Investment Corp
NNN, United States of America,National Retail Properties Inc
NLY, United States of America,Annaly Capital Management Inc
NHI, United States of America,National Health Investors Inc
MTGE, United States of America,MTGE Investment Corp
MRT, United States of America,Medequities Realty Trust Inc
MPW, United States of America,Medical Properties Trust Inc
MORE,-,Monogram Residential Trust Inc
MNR, United States of America,Monmouth Real Estate Investment Corp
MITT, United States of America,AG Mortgage Investment Trust Inc
MGP, United States of America,MGM Growth Properties LLC
MFA, United States of America,MFA Financial Inc
MAC, United States of America,Macerich Co
MAA, United States of America,Mid-America Apartment Communities Inc
LXP, United States of America,Lexington Realty Trust
LTC, United States of America,LTC Properties Inc
LSI, United States of America,Life Storage Inc
LPT, United States of America,Liberty Property Trust
LHO, United States of America,LaSalle Hotel Properties
LAND, United States of America,Gladstone Land Corp
LAMR, United States of America,Lamar Advertising Co
LADR, United States of America,Ladder Capital Corp
KW, United States of America,Kennedy-Wilson Holdings Inc
KRG, United States of America,Kite Realty Group Trust
KREF, United States of America,KKR Real Estate Finance Trust Inc 
KRC, United States of America,Kilroy Realty Corp
KIM, United States of America,Kimco Realty Corp
JCAP, United States of America,Jernigan Capital Inc
JBGS, United States of America,JBG SMITH Properties 
IVR, United States of America,Invesco Mortgage Capital Inc
IRT, United States of America,Independence Realty Trust Inc
IRM, United States of America,Iron Mountain Inc
IRET, United States of America,Investors Real Estate Trust
INVH, United States of America,Invitation Homes Inc 
INN, United States of America,Summit Hotel Properties Inc
IIPR, United States of America,Innovative Industrial Properties Inc
HTA, United States of America,Healthcare Trust Of America Inc
HT, United States of America,Hersha Hospitality Trust
HST, United States of America,Host Hotels & Resorts Inc
HR, United States of America,Healthcare Realty Trust Inc
HPP, United States of America,Hudson Pacific Properties Inc
HIW, United States of America,Highwoods Properties Inc
HIFR, United States of America,InfraREIT Inc
HHC, United States of America,Howard Hughes Corp
HASI, United States of America,Hannon Armstrong Sustainable Infrastructure Capital Inc
GTY, United States of America,Getty Realty Corp
GPT, United States of America,Gramercy Property Trust
GOOD, United States of America,Gladstone Commercial Corp
GNL, United States of America,Global Net Lease Inc
GMRE, United States of America,Global Medical REIT Inc
